YEAR,LOCATION,ESTIMATE,ERROR,FUEL_TYPE
2014-01-01,Dallas,2462,549,Bottled/tank/LP Gas
2014-01-01,Dallas,317259,6073,Electricity
2014-01-01,Dallas,229,251,Fuel oil/kerosene/etc.
2014-01-01,Dallas,163,212,Coke/Coal
2014-01-01,Dallas,317,230,Wood
2014-01-01,Dallas,82,95,Solar
2014-01-01,Dallas,737,499,Other fuel
2014-01-01,Dallas,1825,603,No fuel
2014-01-01,Houston,834204,9001,Total
2014-01-01,Houston,298361,6630,Utility Gas
2014-01-01,Houston,3891,784,Bottled/tank/LP Gas
2014-01-01,Houston,526611,9599,Electricity
2014-01-01,Houston,320,226,Fuel oil/kerosene/etc.
2014-01-01,Houston,43,72,Coke/Coal
2014-01-01,Houston,356,336,Wood
2014-01-01,Houston,288,253,Solar
2014-01-01,Houston,557,336,Other fuel
2014-01-01,Houston,3777,767,No fuel
2015-01-01,Texas,9421412,21122,Total
2015-01-01,Texas,3390924,26604,Utility Gas
2015-01-01,Texas,293458,7956,Bottled/tank/LP Gas
2015-01-01,Texas,5637227,26197,Electricity
2015-01-01,Texas,9351,1506,Fuel oil/kerosene/etc.
2015-01-01,Texas,620,344,Coke/Coal
2015-01-01,Texas,35322,2753,Wood
2015-01-01,Texas,2021,623,Solar
2015-01-01,Texas,12897,1642,Other fuel
2015-01-01,Texas,39592,2912,No fuel
2015-01-01,Dallas,495362,5725,Total
2015-01-01,Dallas,162680,4531,Utility Gas
2015-01-01,Dallas,3199,858,Bottled/tank/LP Gas
2015-01-01,Dallas,326179,6668,Electricity
2015-01-01,Dallas,629,541,Fuel oil/kerosene/etc.
2015-01-01,Dallas,0,214,Coke/Coal
2015-01-01,Dallas,182,155,Wood
2015-01-01,Dallas,199,186,Solar
2015-01-01,Dallas,259,210,Other fuel
2015-01-01,Dallas,2035,635,No fuel
2015-01-01,Houston,849974,7977,Total
2015-01-01,Houston,285657,7524,Utility Gas
2015-01-01,Houston,5562,1147,Bottled/tank/LP Gas
2015-01-01,Houston,553271,9857,Electricity
2015-01-01,Houston,731,462,Fuel oil/kerosene/etc.
2015-01-01,Houston,0,214,Coke/Coal
2015-01-01,Houston,360,302,Wood
2015-01-01,Houston,0,214,Solar
2015-01-01,Houston,452,275,Other fuel
2015-01-01,Houston,3941,849,No fuel
2016-01-01,Texas,9535612,20125,Total
2016-01-01,Texas,3407001,22035,Utility Gas
2016-01-01,Texas,273637,8147,Bottled/tank/LP Gas
2016-01-01,Texas,5754927,23434,Electricity
2016-01-01,Texas,8943,1765,Fuel oil/kerosene/etc.
2016-01-01,Texas,1272,681,Coke/Coal
2016-01-01,Texas,32735,3129,Wood
2016-01-01,Texas,4028,1021,Solar
2016-01-01,Texas,14285,1751,Other fuel
2016-01-01,Texas,38784,2857,No fuel
2016-01-01,Houston,867915,8198,Total
2016-01-01,Houston,295989,7545,Utility Gas
2016-01-01,Houston,4827,927,Bottled/tank/LP Gas
2016-01-01,Houston,559459,8218,Electricity
2016-01-01,Houston,975,621,Fuel oil/kerosene/etc.
2016-01-01,Houston,0,220,Coke/Coal
2016-01-01,Houston,140,166,Wood
2016-01-01,Houston,251,259,Solar
2016-01-01,Houston,533,418,Other fuel
2016-01-01,Houston,5741,1352,No fuel
2016-01-01,Dallas,514588,5379,Total
2016-01-01,Dallas,168629,4767,Utility Gas
2016-01-01,Dallas,2748,692,Bottled/tank/LP Gas
2016-01-01,Dallas,340535,5808,Electricity
2016-01-01,Dallas,260,298,Fuel oil/kerosene/etc.
2016-01-01,Dallas,90,150,Coke/Coal
2016-01-01,Dallas,95,123,Wood
2016-01-01,Dallas,78,91,Solar
2016-01-01,Dallas,321,220,Other fuel
2016-01-01,Dallas,1832,533,No fuel
2017-01-01,Texas,9623874,22217,Total
2017-01-01,Texas,3422516,26520,Utility Gas
2017-01-01,Texas,281245,9102,Bottled/tank/LP Gas
2017-01-01,Texas,5824591,32137,Electricity
2017-01-01,Texas,9195,1479,Fuel oil/kerosene/etc.
2017-01-01,Texas,642,333,Coke/Coal
2017-01-01,Texas,28835,2627,Wood
2017-01-01,Texas,5484,1011,Solar
2017-01-01,Texas,12979,1749,Other fuel
2017-01-01,Texas,38387,3000,No fuel
2017-01-01,Dallas,513084,5613,Total
2017-01-01,Dallas,164291,5237,Utility Gas
2017-01-01,Dallas,3247,688,Bottled/tank/LP Gas
2017-01-01,Dallas,343031,7048,Electricity
2017-01-01,Dallas,496,368,Fuel oil/kerosene/etc.
2017-01-01,Dallas,0,225,Coke/Coal
2017-01-01,Dallas,182,240,Wood
2017-01-01,Dallas,326,279,Solar
2017-01-01,Dallas,428,238,Other fuel
2017-01-01,Dallas,1083,350,No fuel
2017-01-01,Houston,837686,10337,Total
2017-01-01,Houston,286146,8532,Utility Gas
2017-01-01,Houston,4889,1143,Bottled/tank/LP Gas
2017-01-01,Houston,541120,9959,Electricity
2017-01-01,Houston,410,292,Fuel oil/kerosene/etc.
2017-01-01,Houston,51,85,Coke/Coal
2017-01-01,Houston,95,112,Wood
2017-01-01,Houston,239,171,Solar
2017-01-01,Houston,332,259,Other fuel
2017-01-01,Houston,4404,976,No fuel
2018-01-01,Texas,9776083,21679,Total
2018-01-01,Texas,3472727,23945,Utility Gas
2018-01-01,Texas,276111,8115,Bottled/tank/LP Gas
2018-01-01,Texas,5927999,27333,Electricity
2018-01-01,Texas,8778,1654,Fuel oil/kerosene/etc.
2018-01-01,Texas,1349,570,Coke/Coal
2018-01-01,Texas,27474,2266,Wood
2018-01-01,Texas,7922,1525,Solar
2018-01-01,Texas,13405,2022,Other fuel
2018-01-01,Texas,40318,2813,No fuel
2018-01-01,Dallas,521198,6967,Total
2018-01-01,Dallas,166411,4068,Utility Gas
2018-01-01,Dallas,2293,718,Bottled/tank/LP Gas
2018-01-01,Dallas,348624,6418,Electricity
2018-01-01,Dallas,342,415,Fuel oil/kerosene/etc.
2018-01-01,Dallas,0,228,Coke/Coal
2018-01-01,Dallas,155,152,Wood
2018-01-01,Dallas,363,234,Solar
2018-01-01,Dallas,312,251,Other fuel
2018-01-01,Dallas,2698,686,No fuel
2018-01-01,Houston,849105,8526,Total
2018-01-01,Houston,284620,7915,Utility Gas
2018-01-01,Houston,3383,926,Bottled/tank/LP Gas
2018-01-01,Houston,555341,10061,Electricity
2018-01-01,Houston,478,320,Fuel oil/kerosene/etc.
2018-01-01,Houston,37,61,Coke/Coal
2018-01-01,Houston,431,505,Wood
2018-01-01,Houston,402,359,Solar
2018-01-01,Houston,834,461,Other fuel
2018-01-01,Houston,3579,953,No fuel
2019-01-01,Texas,9985126,25440,Total
2019-01-01,Texas,3499082,29724,Utility Gas
2019-01-01,Texas,283573,10556,Bottled/tank/LP Gas
2019-01-01,Texas,6101773,32107,Electricity
2019-01-01,Texas,6632,1336,Fuel oil/kerosene/etc.
2019-01-01,Texas,1333,697,Coke/Coal
2019-01-01,Texas,28184,2880,Wood
2019-01-01,Texas,11312,2353,Solar
2019-01-01,Texas,9955,1512,Other fuel
2019-01-01,Texas,43282,3854,No fuel
2019-01-01,Dallas,518998,7150,Total
2019-01-01,Dallas,167738,5596,Utility Gas
2019-01-01,Dallas,2294,641,Bottled/tank/LP Gas
2019-01-01,Dallas,344758,6627,Electricity
2019-01-01,Dallas,571,456,Fuel oil/kerosene/etc.
2019-01-01,Dallas,0,234,Coke/Coal
2019-01-01,Dallas,147,188,Wood
2019-01-01,Dallas,648,395,Solar
2019-01-01,Dallas,658,471,Other fuel
2019-01-01,Dallas,2184,716,No fuel
